box,0.7756,2.787,4.3815,6.4209,11.8276,7.8394,12.6251,1.2078,0.8279
box,0.7761,2.9765,4.0116,5.878,10.8832,-8.0216,-11.1297,1.0397,0.8164
box,0.7364,2.163,4.3378,5.1169,9.8889,6.2336,-10.2094,1.6365,0.8116
box,0.7764,3.1085,3.939,6.1989,11.4175,-7.9515,-11.4191,1.0741,0.8292
case,0.5944,1.4306,4.4118,5.4874,-10.4555,-6.2162,-10.981,2.7238,0.9293
case,0.6538,1.6655,3.8962,4.8257,9.1983,5.6845,9.827,2.154,0.8316
case,0.6305,1.5655,3.9978,4.7961,9.1967,5.5816,10.0897,2.3489,0.8682
case,0.7219,2.0659,3.8733,5.3947,10.0289,6.4277,-11.4748,1.5837,0.8877
case,0.6284,1.5547,4.4798,5.5858,-10.6188,-6.3637,-12.2154,2.5005,0.9356
earpods,0.6634,2.1465,2.2694,2.8597,5.4272,3.9467,6.3572,1.4847,0.5797
earpods,0.7101,2.8045,2.4817,3.4154,6.3657,4.8299,-7.4159,1.2132,0.608
earpods,0.6844,2.0461,2.5672,3.1375,5.9929,4.2403,-6.9107,1.7575,0.6059
earpods,0.7722,2.6511,3.8378,5.5004,-10.5704,-6.8774,-10.2069,1.3487,0.7168
earpods,0.7718,2.9053,3.6138,5.5814,-10.3131,-7.2385,-10.3474,1.1103,0.7783
mask,0.7296,2.3711,2.9335,4.2782,-9.4893,-5.7152,-7.8842,1.3755,0.6823
mask,0.6867,2.0066,2.738,3.5387,6.7296,4.6661,-7.0113,1.5286,0.609
mask,0.7433,2.6807,2.96,4.1546,7.7168,5.6381,-8.5407,1.1234,0.6012
mask,0.7523,2.8695,3.0974,6.3403,-11.5568,8.8972,11.0823,1.2327,0.6873
mask,0.7416,4.0782,2.8693,4.8784,8.9968,-8.6608,-8.8374,1.0411,0.6001
mouse,0.7442,2.1687,4.3559,5.5498,10.7386,6.8705,10.592,1.5941,0.8098
mouse,0.753,2.2699,4.1459,5.1619,9.8855,6.4265,10.0963,1.4629,0.7898
mouse,0.7583,2.3574,4.3044,5.4567,10.9465,-7.9118,10.3508,1.4872,0.8618
mouse,0.7298,2.0461,4.3287,5.4377,10.6048,6.792,10.3894,1.7347,0.8119
mouse,0.7663,2.4683,4.4437,6.6974,12.2735,7.9349,-13.0699,1.454,0.8539
mouse,0.7717,2.5405,5.5105,6.7785,12.9233,8.0488,14.3737,1.4233,0.8244
remote,0.4755,1.0749,3.8131,4.1967,8.204,4.7472,9.1812,3.7015,0.8949
remote,0.4868,1.1059,3.7359,4.1709,8.1285,4.7389,-8.9774,3.5091,0.8827
remote,0.4934,1.1235,3.9045,4.2395,8.3115,4.8014,-10.3614,3.4997,0.8883
remote,0.5065,1.1675,3.3185,3.9037,7.5149,4.4875,-9.8582,2.5432,0.7451
remote,0.4716,1.0652,4.4044,5.3432,-10.6896,-6.1364,-10.2432,3.8737,0.9321
pen,-0.1071,-0.2068,1.6217,1.6433,3.2758,1.5408,6.0881,12.5619,0.7066
pen,0.0579,0.1315,2.2869,2.4152,4.7668,2.5111,6.0413,10.0955,0.7981
pen,0.2242,0.482,2.8041,3.007,5.9148,3.2874,-6.9086,6.9485,0.8099
pen,0.0689,0.1543,2.6708,3.1539,6.1265,3.5132,-6.3738,8.9635,0.7256
wallet,0.7613,2.4979,4.1714,5.2382,9.9728,6.4877,10.3884,1.51,0.7393
wallet,0.7618,2.5055,4.2022,5.2555,10.0153,6.5091,10.4225,1.5083,0.7399
wallet,0.7742,3.0179,4.9959,5.7382,-11.1213,7.7066,-11.6802,1.0441,0.7898
wallet,0.7788,3.1064,5.1873,5.6003,11.1367,7.1561,11.1529,1.1393,0.8437
wallet,0.7782,2.9522,4.3945,5.5985,10.7487,7.7978,10.7424,1.2733,0.812
